,id,localidade,IAP,IDH,PIB,GINI,CLASS,denuncias
x1,150010,Abaetetuba,1.6550352213773933,0.872794460337242,-0.28396057685100556,-1.0517172529984826,1,77
x2,150013,Abel Figueiredo,0.009898072981534015,0.7647096737863871,0.19959906413553086,0.2429026558860896,2,0
x3,150020,Acará,0.8938074348664315,-1.2887891393638802,0.3932961272898631,0.6045853465832371,2,11
x4,150030,Afuá,0.8938074348664315,-1.639976270133218,-0.2987334648698611,-0.6508373064444771,2,1
x5,150034,Água Azul do Norte,0.009898072981534015,-0.2690661378543141,0.6291232461730532,0.2429026558860896,2,4
x6,150040,Alenquer,-1.3899782178749143,-0.2690661378543141,-0.10459047225306266,-0.6508373064444771,3,8
x7,150050,Almeirim,-1.3899782178749143,1.0760621669753159,0.6414125882564761,-5.199337582605575,3,5
x8,150060,Altamira,-1.3899782178749143,1.3996566480498198,1.1846350648209882,-1.0517172529984826,1,14
x9,150070,Anajás,0.009898072981534015,-1.740243655445895,-1.2492821482286744,0.6045853465832371,3,0
x10,150080,Ananindeua,1.5915563484056177,2.3396138240482443,0.5952319253384546,-0.20396117575131423,0,237
x11,150085,Anapu,-1.3899782178749143,-0.5744599931693578,0.5341837998386836,-1.0517172529984826,3,10
x12,150090,Augusto Corrêa,0.009898072981534015,-1.0573264128118767,-1.5350067026256073,-1.0517172529984826,3,6
x13,150095,Aurora do Pará,-1.3899782178749143,-1.0748804789931632,-1.5743125794328128,0.6045853465832371,3,3
x14,150100,Aveiro,0.009898072981534015,-0.8088444041133962,-1.0452882099872884,0.6045853465832371,3,3
x15,150110,Bagre,-0.6886512391544619,-1.9875447386038565,-2.0105659293606544,0.2429026558860896,3,3
x16,150120,Baião,0.009898072981534015,-0.08832777795737361,-0.1279851077090356,0.2429026558860896,2,8
x17,150125,Bannach,-1.3899782178749143,0.2954151418352379,1.2170528775798555,-0.20396117575131423,2,1
x18,150130,Barcarena,1.9742932230425354,1.3300503471619685,1.7251917919153636,-1.4705452438880622,0,65
x19,150140,Belém,1.5915563484056177,5.19933758270342,1.052815819551034,-2.166106752892329,0,958
x20,150145,Belterra,-1.3899782178749143,0.11418529432142852,-0.32512258678455064,1.4705452438880622,3,0
x21,150150,Benevides,0.7049775102792363,1.3996566480498198,1.2485415961917203,0.2429026558860896,1,18
x22,150157,Bom Jesus do Tocantins,0.3374821867256964,0.16532666916589714,-0.06266557194917585,-1.0517172529984826,2,2
x23,150160,Bonito,-0.6886512391544619,-0.6985257103450601,-0.1641535737192016,5.19933758270342,1,3
x24,150170,Bragança,0.009898072981534015,0.45498114030642833,-0.34742692727923885,-0.20396117575131423,2,29
x25,150172,Brasil Novo,0.3374821867256964,0.6644777254117699,0.7783946738713903,0.967421566101701,1,1
x26,150175,Brejo Grande do Araguaia,-1.3899782178749143,0.21690442598171078,0.06094385635407057,-0.20396117575131423,3,2
x27,150178,Breu Branco,0.009898072981534015,-0.21690442598171064,-0.3521853998386554,-0.20396117575131423,3,6
x28,150180,Breves,1.5915563484056177,-1.3996566480498192,-0.8057617781468005,-1.0517172529984826,2,12
x29,150190,Bujaru,1.4813016392052942,-0.48699393885129033,0.4582270080444341,-0.20396117575131423,1,11
x30,150195,Cachoeira do Piriá,-1.3899782178749143,-1.9404374900135768,-5.199337582605575,0.967421566101701,3,1
x31,150200,Cachoeira do Arari,1.395418154614277,-0.6985257103450601,-0.5774096666123206,-0.6508373064444771,2,3
x32,150210,Cametá,0.009898072981534015,-0.11418529432142824,-0.6743562933573027,-0.6508373064444771,3,16
x33,150215,Canaã dos Carajás,0.3374821867256964,1.7460165226992137,5.19933758270342,0.6045853465832371,0,14
x34,150220,Capanema,1.6550352213773933,1.2154478208330304,0.661713667133729,-0.20396117575131423,1,25
x35,150230,Capitão Poço,0.3374821867256964,-0.5744599931693578,0.32413646555592684,-0.6508373064444771,2,5
x36,150240,Castanhal,1.9742932230425354,1.7460165226992137,0.867179887825617,-0.6508373064444771,0,94
x37,150250,Chaves,0.8938074348664315,-2.150833398799841,-0.704008408610483,1.4705452438880622,2,1
x38,150260,Colares,0.7049775102792363,0.501297710767729,-1.6432252209245173,5.19933758270342,1,3
x39,150270,Conceição do Araguaia,0.7049775102792363,1.0299567622253682,0.2048688891943126,-2.166106752892329,1,4
